country_long,Gold Medal,Silver Medal,Bronze Medal
United States of America,40,44,42
China,40,27,24
Japan,20,12,13
Australia,18,19,16
France,16,26,22
Netherlands,15,7,12
Great Britain,14,22,29
South Korea,13,9,10
Italy,12,13,15
Germany,12,13,8
New Zealand,10,7,3
Canada,9,7,11
Uzbekistan,8,2,3
Hungary,6,7,6
Spain,5,4,9
Sweden,4,4,3
Kenya,4,2,5
Norway,4,1,3
Ireland,4,0,3
Brazil,3,7,10
Iran,3,6,3
Ukraine,3,5,4
Romania,3,4,2
Georgia,3,3,1
Belgium,3,1,6
Bulgaria,3,1,3
Serbia,3,1,1
Czechia,3,0,2
Denmark,2,2,5
Azerbaijan,2,2,3
Croatia,2,2,3
Cuba,2,1,6
Bahrain,2,1,1
Slovenia,2,1,0
Chinese Taipei,2,0,5
Austria,2,0,3
Hong Kong,2,0,2
Philippines,2,0,2
Algeria,2,0,1
Indonesia,2,0,0
Israel,1,5,1
Poland,1,4,5
Kazakhstan,1,3,3
Jamaica,1,3,2
South Africa,1,3,2
Thailand,1,3,2
AIN,1,3,1
Ethiopia,1,3,0
Switzerland,1,2,5
Ecuador,1,2,2
Portugal,1,2,1
Greece,1,1,6
Argentina,1,1,1
Egypt,1,1,1
Tunisia,1,1,1
Botswana,1,1,0
Chile,1,1,0
Saint Lucia,1,1,0
Uganda,1,1,0
Dominican Republic,1,0,2
Guatemala,1,0,1
Morocco,1,0,1
Dominica,1,0,0
Pakistan,1,0,0
Türkiye,0,3,5
Mexico,0,3,2
Armenia,0,3,1
Colombia,0,3,1
North Korea,0,2,4
Kyrgyzstan,0,2,4
Lithuania,0,2,2
India,0,1,5
Republic of Moldova,0,1,3
Kosovo,0,1,1
Cyprus,0,1,0
Fiji,0,1,0
Jordan,0,1,0
Mongolia,0,1,0
Panama,0,1,0
Tajikistan,0,0,3
Albania,0,0,2
Grenada,0,0,2
Malaysia,0,0,2
Puerto Rico,0,0,2
Cabo Verde,0,0,1
Côte d'Ivoire,0,0,1
Refugee Olympic Team,0,0,1
Peru,0,0,1
Qatar,0,0,1
Singapore,0,0,1
Slovakia,0,0,1
Zambia,0,0,1
